rank,class_id,class_name,count,cum_pct
1,600,Unibet,1569,8.853902149991535
2,495,Select,837,13.577111901134247
3,443,Puma,468,16.21804638564415
4,342,Länsförsäkringar,445,18.72919135488968
5,621,Volkswagen,273,20.26973647085379
6,525,Stadium,245,21.65227695953953
7,395,Nordic Wellness,235,22.97838722419728
8,11,AJ Produkter,213,24.180350995993454
9,15,Adidas logo,175,25.16787991648327
10,161,Enkla Elbolaget,155,26.042548388917105
11,269,Infoservice,145,26.86078663732295
12,388,Nike logo,139,27.645166751312004
13,94,CA Fastigheter,135,28.40697477568986
14,147,Eksjöhus,134,29.163139777664917
15,457,Renta,129,29.89108966762598
16,287,K-Bygg,129,30.619039557587044
17,214,Guldfågeln,124,31.318774335534112
18,666,merinfo,123,32.01286609107838
19,481,SVB,117,32.673099712205854
20,574,Telexia,117,33.333333333333336
21,326,Liljedahl,114,33.976637887252416
22,361,Maxi,113,34.614299418768695
23,172,Falkeskog,113,35.251960950284975
24,106,Coca Cola,112,35.883979459398454
25,134,EAB,109,36.49906890130354
26,349,MG,104,37.085943231194626
27,236,Hisstech AB,104,37.672817561085715
28,196,GDL,103,38.25404886857401
29,112,Craft,103,38.8352801760623
30,157,Elkejdan,96,39.377010326730996
31,498,Serneke,95,39.913097454996894
32,375,Mobill,94,40.44354156086
33,274,Intersport,90,40.9514135771119
34,517,Sparbanken,89,41.45364257096101
35,43,BRA,89,41.95587156481011
36,49,Barometern,88,42.45245753625642
37,87,Brixo,87,42.943400485299925
38,643,Zinkteknik,82,43.40612832232944
39,89,Bygg Construct,75,43.82935500253936
40,492,Scania,73,44.24129563794368
41,552,Säljfast,71,44.641950228542406
42,273,Input Interiör,71,45.04260481914113
43,291,KAMA,70,45.43761638733706
44,518,Sparbanken tekst,66,45.81005586592179
45,55,Bergkvarabuss,65,46.17685232210372
46,281,Jonab,64,46.53800575588285
47,559,TICTAC,61,46.882230122453585
48,441,Projob,60,47.22081146662152
49,408,OCAB,60,47.55939281078946
50,631,Weber,60,47.897974154957396
51,601,Unisport,59,48.23091247672253
52,590,Truecaller,59,48.56385079848767
53,203,Getinge,59,48.896789120252805
54,496,Select logo,58,49.224084419615146
55,460,Rexel,58,49.551379718977486
56,115,Cramo,58,49.87867501833982
57,355,Malmqvist,58,50.20597031770216
58,641,XL Bygg,57,50.5276225946617
59,521,Sportringen,57,50.84927487162124
60,167,Exiso,57,51.17092714858078
61,181,Flinks,57,51.49257942554032
62,69,Blåkläder,55,51.80294565769426
63,168,Extra,55,52.113311889848205
64,288,K-G Paulssons Bär & Grönsaker AB,54,52.418035099599344
65,158,Ellos,54,52.72275830935049
66,250,Hylte,54,53.02748151910163
67,145,Effektiv,54,53.33220472885277
68,661,inkClub,53,53.63128491620112
69,83,Bravida,51,53.91907905874386
70,104,ClickitUp,51,54.20687320128661
71,366,Mellby Gård,51,54.494667343829356
72,271,Infrakraft,50,54.7768184639693
73,407,Nöjd,50,55.05896958410925
74,627,Västkust Stugan,50,55.34112070424919
75,565,Tammp,50,55.62327182438914
76,674,Östras Stenungsbageriet,50,55.90542294452909
77,150,Eleda,49,56.181931042266235
78,505,Skolon,49,56.458439140003385
79,202,Garo,49,56.734947237740535
80,449,Ramo,49,57.011455335477685
81,648,bemt,49,57.28796343321483
82,587,Trebolit,48,57.558828508549176
83,486,Sandahls,48,57.829693583883525
84,99,Carpenter,48,58.100558659217874
85,120,DS Smith,48,58.37142373455222
86,24,ApQ,48,58.64228880988657
87,482,SVEA,47,58.90751086281813
88,207,Gjuteriteknik,47,59.17273291574968
89,121,Dahl,47,59.437954968681225
90,463,Road Rental,47,59.703177021612774
91,406,Näbo Bygg,45,59.95711302973873
92,42,BOA,44,60.20540601546188
93,416,Optimera,44,60.453699001185036
94,6,ABB,44,60.70199198690819
95,60,Bevego,44,60.950284972631344
96,467,Roxtec,44,61.1985779583545
97,599,Umbro,44,61.446870944077645
98,373,Mix Megapol,43,61.689520907398006
99,285,Järletoft Bygg,43,61.93217087071836
100,50,Bauhaus,43,62.17482083403871
101,90,Bygg-Bröderna S AB,42,62.411827774956265
102,240,Holmen,42,62.648834715873825
103,670,visolve,42,62.88584165679138
104,358,Maskin & Verktyg,41,63.11720557530614
105,494,Sefina Pantbank,41,63.34856949382089
106,673,Årsta tak,41,63.57993341233565
107,173,Fameco,40,63.80565430844761
108,442,Pulsen,40,64.03137520455957
109,359,Mataki,40,64.25709610067152
110,610,Vaksala Måleri,39,64.47717397438068
111,93,C Land Logistics,39,64.69725184808983
112,84,Bredbandsval.se,39,64.91732972179899
113,580,Tillmobil,39,65.13740759550815
114,620,Voky,39,65.35748546921731
115,480,STC,39,65.57756334292647
116,584,Toyo Tires,39,65.79764121663563
117,74,Boozt,39,66.01771909034478
118,450,Rasta,38,66.23215394165115
119,424,Parker,38,66.44658879295751
120,116,Crowe,37,66.65538062186107
121,477,SKYLT & NEON,37,66.86417245076463
122,14,Abri,37,67.07296427966818
123,452,Redeye,36,67.27611308616895
124,245,Hulten,36,67.47926189266971
125,237,Hitachi Energy,36,67.68241069917048
126,468,Rudholm Group,34,67.87427346086564
127,657,gibon,34,68.0661362225608
128,647,axelssons,34,68.25799898425596
129,632,Wellness Studio,33,68.44421872354833
130,623,Värnamo Energi,32,68.6247954404379
131,603,Upplands Bilforum AB,32,68.80537215732747
132,448,Ramirent,31,68.98030585181424
133,194,GA,31,69.155239546301
134,436,Pre Zero,31,69.33017324078777
135,378,Multi bygg,30,69.49946391287173
136,340,Luthagens Livs ICA,30,69.6687545849557
137,31,Assemblin,30,69.83804525703967
138,390,Nivika,30,70.00733592912364
139,646,amicus,30,70.1766266012076
140,544,Super Dæk,29,70.34027425088878
141,656,ggmgastro,29,70.50392190056995
142,306,Kundpartner,29,70.66756955025112
143,114,Craftor,29,70.83121719993228
144,12,ALT,29,70.99486484961345
145,180,Finnvedsbostäder,28,71.15286947689182
146,575,Telink,27,71.30523108176739
147,591,Tryck Cenrtum,27,71.45759268664297
148,345,MAX,27,71.60995429151853
149,665,marching on together ab,26,71.7566728739913
150,532,Stena Recycling,26,71.90339145646408
151,248,Hydroscand,26,72.05011003893685
152,317,Lantmännen Agroetanol,26,72.19682862140962
153,668,nominit,26,72.3435472038824
154,44,BST,26,72.49026578635517
155,659,granitor,26,72.63698436882794
156,298,Karaten,26,72.78370295130071
157,128,Direct Larm & Lås,26,72.93042153377348
158,218,HECO,25,73.07149709384346
159,405,Nyfosa,25,73.21257265391344
160,78,Borås Stad,25,73.3536482139834
161,107,Condesign,25,73.49472377405338
162,233,Harry Berglund Förvaltnings AB,25,73.63579933412336
163,92,Börjessons,25,73.77687489419333
164,555,Sölvesborgs kommun,25,73.9179504542633
165,211,Good Advice,25,74.05902601433327
166,557,TCL,25,74.20010157440325
167,166,Exceed,24,74.33553411207042
168,65,Björklunds Kafferosteri,24,74.4709666497376
169,570,Teknos,24,74.60639918740478
170,371,Metodgolv,24,74.74183172507195
171,103,Cityfastigheter,24,74.87726426273912
172,33,Auktionsbyrån Effecta AB,24,75.0126968004063
173,229,Handelsbanken,24,75.14812933807347
174,299,Klara,24,75.28356187574065
175,522,Sportway,23,75.41335139100502
176,579,Thermia Värmepumpar,23,75.5431409062694
177,669,sesol,23,75.67293042153378
178,45,BUFAB,23,75.80271993679816
179,672,Ångtvättbilen,23,75.93250945206252
180,275,Isobetong,23,76.0622989673269
181,380,Muskelcentrum,23,76.19208848259127
182,513,Social Zense,22,76.31623497545286
183,197,GE Bäst,22,76.44038146831443
184,502,Simplicity,22,76.56452796117601
185,260,ICA Supermarket,22,76.68867445403758
186,293,Kadesjös,22,76.81282094689917
187,108,Conductus AB,22,76.93696743976074
188,404,Nybyggar'n AB,22,77.06111393262232
189,433,Pontuz Löfgren,22,77.18526042548389
190,223,Habo,21,77.30376389594267
191,664,kvdbil,21,77.42226736640144
192,160,Elon,21,77.54077083686022
193,51,Beans in Cup,21,77.659274307319
194,249,Hygienteknik,21,77.77777777777777
195,660,iLoq,21,77.89628124823656
196,318,Larsson,20,78.00914169629253
197,48,Bad & Varme,20,78.12200214434851
198,23,Amokabel,20,78.2348625924045
199,26,Arbesko,20,78.34772304046047
200,548,Sydställningar,20,78.46058348851645
201,123,Daloc,20,78.57344393657243
202,474,SGA,20,78.6863043846284
203,70,BoViva,20,78.79916483268438
204,18,Ahlberg bil,20,78.91202528074037
205,220,HJT Service AB,20,79.02488572879635
206,478,SRM Stål & Rörmontage,19,79.13210315444952
207,419,Ove,19,79.2393205801027
208,526,Stadsporten,19,79.34653800575589
209,381,Månsson Rör,19,79.45375543140906
210,510,Skyltproduktion,19,79.56097285706224
211,535,StensbergsEl AB,19,79.66819028271543
212,32,Audicom Pendax,19,79.7754077083686
213,259,ICA Kvantum,19,79.88262513402178
214,322,Lendo,19,79.98984255967497
215,124,Demo Group,19,80.09705998532814
216,208,Gjuteriteknik tekst,19,80.20427741098132
217,534,Stenfastigheter,19,80.3114948366345
218,585,Tranpenad,19,80.41871226228768
219,86,Brion,19,80.52592968794086
220,556,TB Printsolutions,19,80.63314711359403
221,105,Clinton,19,80.74036453924722
222,328,Lindab,19,80.8475819649004
223,270,InfraCom,19,80.95479939055357
224,376,Mocca Deli,18,81.05637379380396
225,111,Corpay,18,81.15794819705434
226,616,Victoria,18,81.25952260030472
227,205,Gevab Group,18,81.3610970035551
228,311,LF Invest AB,18,81.46267140680548
229,461,Rimeda,18,81.56424581005587
230,500,Sfär,18,81.66582021330625
231,453,Reformhus,18,81.76739461655663
232,140,ELAK,18,81.86896901980701
233,476,SKAB,18,81.97054342305739
234,571,TekoTryck,18,82.07211782630777
235,431,Platinumcars,17,82.16804920715535
236,386,NTEX,17,82.26398058800294
237,37,B el & tele,17,82.35991196885051
238,411,Oatly,17,82.4558433496981
239,302,Konst Smide,17,82.55177473054567
240,138,EL Man,17,82.64770611139326
241,654,exakta,17,82.74363749224085
242,387,Nearyou,17,82.83956887308842
243,446,RO-gruppen,17,82.93550025393601
244,264,ITS,17,83.03143163478359
245,9,AH Sport & Business,17,83.12736301563118
246,456,Renova,16,83.21765137407596
247,507,Skrotfrag,16,83.30793973252074
248,558,TF Bank,16,83.39822809096552
249,61,Billy & Dennis,16,83.4885164494103
250,644,advokatbyrån novum,16,83.5788048078551
251,95,CLN Athletics,16,83.66909316629987
252,102,Cernera,16,83.75938152474465
253,251,Hyrex,16,83.84966988318943
254,438,Prefabsystem,16,83.93995824163422
255,332,Logomattan,16,84.030246600079
256,189,Frank Bistro,16,84.12053495852379
257,567,"Team ""G"" EL & VVS AB",16,84.21082331696857
258,469,Ryds Bilglas,16,84.30111167541335
259,266,Ifmetall,15,84.38575701145534
260,335,Lundagrossisten,15,84.47040234749731
261,17,Advokatfirman Landerdahl,15,84.5550476835393
262,519,Spolpatrullen,15,84.63969301958129
263,568,Techno Skruv,15,84.72433835562327
264,277,J&S Markservice AB,15,84.80898369166526
265,101,Cequred Security,15,84.89362902770723
266,186,Forza football,15,84.97827436374922
267,143,Easy Coffee,15,85.06291969979121
268,365,Mella el,15,85.1475650358332
269,504,Sjömarkens Svets och Smide AB,15,85.23221037187518
270,429,Picadeli,15,85.31685570791716
271,165,Estrella,15,85.40150104395914
272,343,Lönneberga,15,85.48614638000113
273,324,Let´s Create,15,85.57079171604312
274,312,LGL Construction,15,85.65543705208509
275,290,K-vagnen,15,85.74008238812708
276,479,STARK,15,85.82472772416907
277,583,Toveksbil VW,15,85.90937306021105
278,524,Stadax,15,85.99401839625304
279,76,Borohus,15,86.07866373229501
280,97,CTC Värmepumpar,15,86.163309068337
281,199,GN Transport,14,86.24231138197618
282,252,Härryda Karlsson,14,86.32131369561537
283,169,FR Fastighetsservice,14,86.40031600925455
284,10,AHNVIKS,14,86.47931832289375
285,315,LKQ Atracco,14,86.55832063653293
286,258,ICA City,14,86.6373229501721
287,338,Lundebergs Fastigheter logo,14,86.7163252638113
288,98,CWS,14,86.79532757745048
289,491,Scandic,14,86.87432989108967
290,418,Ottosson Truck,14,86.95333220472885
291,465,Rollup-Kungen,14,87.03233451836803
292,80,Borås Truckservice,14,87.11133683200723
293,549,Sydsvenskan,14,87.1903391456464
294,489,Sankt Jorgen Park,14,87.2693414592856
295,539,Städ & Fönsterservice,14,87.34834377292478
296,284,Jump Yard,14,87.42734608656396
297,286,Järngrinden,14,87.50634840020315
298,675,Øresundsbron,13,87.57970769143954
299,253,Hållanders Sägverk AB,13,87.65306698267592
300,174,Fat21,13,87.72642627391231
301,427,Peas of Heaven,13,87.7997855651487
302,382,NLY Man,13,87.87314485638508
303,628,Västtak,13,87.94650414762147
304,75,Borgstena of Sweden,13,88.01986343885785
305,379,Musiklageret,13,88.09322273009424
306,187,Fotriktigt,13,88.16658202133063
307,244,Hugo,13,88.23994131256701
308,369,Mercedes,13,88.3133006038034
309,77,Borås MurningsArbeten,13,88.38665989503978
310,341,Lyckholms Elektriska,13,88.46001918627617
311,396,Nordquist & Järnvall,13,88.53337847751256
312,589,Troax,13,88.60673776874894
313,451,Ravema,12,88.67445403758254
314,393,Norden,12,88.74217030641611
315,354,Malaco,12,88.8098865752497
316,135,EB Road Cargo,12,88.87760284408328
317,540,Ståthøga Verkstad AB,12,88.94531911291688
318,434,Port Du Soleil,12,89.01303538175047
319,501,Silvent,12,89.08075165058405
320,225,Halmstad Kakelhus,12,89.14846791941764
321,454,Rejlers,12,89.21618418825123
322,630,WebROPol,12,89.28390045708481
323,183,Folie & Papper,12,89.3516167259184
324,473,SEFAB,12,89.41933299475198
325,1,3M Peltor,12,89.48704926358558
326,626,Västerås Takentreprenad AB,11,89.54912251001636
327,400,Norteam,11,89.61119575644716
328,255,Högbergs Buss AB,11,89.67326900287794
329,217,Göteborgs Metallpartier,11,89.73534224930873
330,265,Idealtryck,11,89.79741549573951
331,372,Mitsubishi,11,89.85948874217031
332,602,Uponor,11,89.9215619886011
333,176,Finlarm,11,89.98363523503188
334,392,Nordea,11,90.04570848146267
335,188,Four Office,11,90.10778172789345
336,598,UGSAB,11,90.16985497432425
337,428,Pepsi,11,90.23192822075504
338,445,QTF,11,90.29400146718582
